person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,games_played_flag,position,draft_year,draft_round,draft_num,birth_date,height_feet,height_inches,height,weight,season_exp,jersey,school,country,last_affiliation
1628389,"Adebayo, Bam",Bam Adebayo,t,2017,2018,bam_adebayo,Y,Center,2017,1,,,6,10,6.8,255,1,13,Kentucky,USA,Kentucky/USA
1628391,"Wilson, D.J.",D.J. Wilson,t,2017,2018,d.j._wilson,Y,Forward,2017,1,,,6,10,6.8,236,1,5,Michigan,USA,Michigan/USA
1628395,"Bell, Jordan",Jordan Bell,t,2017,2018,jordan_bell,Y,Center,2017,2,,,6,9,6.8,224,1,2,Oregon,USA,Oregon/USA
1628396,"Bradley, Tony",Tony Bradley,t,2017,2018,tony_bradley,Y,Center,2017,1,,,6,10,6.8,248,1,13,North Carolina,USA,North Carolina/USA
1628397,"Rabb, Ivan",Ivan Rabb,t,2017,2018,ivan_rabb,Y,Forward,2017,2,,,6,10,6.8,220,1,10,California,USA,California/USA
1628398,"Kuzma, Kyle",Kyle Kuzma,t,2017,2018,kyle_kuzma,Y,Forward,2017,1,,,6,9,6.8,220,1,0,Utah,USA,Utah/USA
1628399,"Lydon, Tyler",Tyler Lydon,t,2017,2018,tyler_lydon,Y,Forward,2017,1,,,6,9,6.8,220,1,20,Syracuse,USA,Syracuse/USA
1628405,"Motley, Johnathan",Johnathan Motley,t,2017,2018,johnathan_motley,Y,Forward,,,,,6,10,6.8,230,1,,Baylor,USA,Baylor/USA
1628409,"Peters, Alec",Alec Peters,f,2017,2017,alec_peters,Y,Forward,2017,2,,,6,9,6.8,235,1,25,Valparaiso,USA,Valparaiso/USA
1628413,"Bolden, Jonah",Jonah Bolden,t,2018,2018,jonah_bolden,N,Forward,2017,2,,,6,10,6.8,220,0,,,Australia,Australia/Australia
1628418,"Bryant, Thomas",Thomas Bryant,t,2017,2018,thomas_bryant,Y,Center,2017,2,,,6,10,6.8,248,1,,Indiana,USA,Indiana/USA
